symbol,name
AKBNK,AKBANK
GARAN,GARANTİ BANKASI
ISCTR,İŞ BANKASI C
THYAO,TÜRK HAVA YOLLARI
ASELS,ASELSAN
SISE,ŞİŞECAM
EREGL,EREĞLİ DEMİR ÇELİK
KCHOL,KOÇ HOLDİNG
TUPRS,TÜPRAŞ
FROTO,FOROT
BIMAS,BİM MAĞAZACILIK
SAHOL,SABANCI HOLDİNG
SASA,SASA POLYESTER
YKBNK,YAPI KREDİ
PETKM,PETKİM
TCELL,TÜRKCELL
TTKOM,TÜRK TELEKOM
EKGYO,EMLAK KONUT
TOASO,TOFAŞ OTO
KRDMD,KARDEMİR D
HEKTS,HEKTAŞ
SOKM,ŞOK MARKETLER
PGSUS,PEKASUS
ENKAI,ENKA İNŞAAT
BRSAN,BORUSAN BİRLEŞİK
OTKAR,OTOKAR
ALARK,ALARKO HOLDİNG
ASTOR,ASTOR ENERJİ
CCOLA,COCA COLA İÇECEK
DOAS,DOĞUŞ OTOMOTİV
OYAKC,OYAK ÇİMENTO
TAVHL,TAV HAVALİMANLARI
AKSA,AKSA
AEFES,ANADOLU EFES
ARCLK,ARCELİK
BAGFS,BAGFAŞ
BAKAB,BAK AMBALAJ
BUCIM,BURSA ÇİMENTO
CLEBI,ÇELEBİ HAVA SERVİSİ
ENERJİ,ENERJİSA ENERJİ
FENERB,FENERBAHÇE
GOZDE,GOZDE GİRİŞİM
ISGYO,İŞ GYO
KONYA,KONYA ÇİMENTO
KORDS,KORDSA TEKNİK
KOZAA,KOZA ALTIN
KOZAL,KOZA MADENCİLİK
MAVI,MAVİ GİYİM
MGROS,MİGROS
MIATK,MIATCK
ODAS,ODAŞ ELEKTRİK
PEKGY,PEKER GYO
SARKY,SARKUYSAN
SNGYO,SİNPAŞ GYO
TMSN,TUMSAN
TRKCM,TRK CAM
TUKAS,TUKAŞ
ULKER,ÜLKER BİSKÜVİ
VAKBN,VAKIFBANK
VESTL,VESTEL
ZOREN,ZORLU ENERJİ
ALCTR,ALCTRON
AFYON,AFYON ÇİMENTO
AKSAİ,AKSA İPLİK
ANELE,ANELEKT
ANKEN,ANADOLU KALKINMA
AYGAZ,AYGAZ
BEREKET,BEREKET ENERJİ
BRISA,BRİSA
BSOKM,BİZİM TOPTAN
DOHOL,DOĞAN HOLDİNG
ECILC,ECZACIBAŞI İLAÇ
ECZYT,ECZACIBAŞI YATIRIM
EUREN,EUREN ENERJİ
GSDHO,GSD HOLDİNG
HALKB,HALK BANKASI
IPEKE,İPEK ENERJİ
KARSN,KARSAN
KAYSE,KAYSERİ ŞEKER
KLGYO,KLİMASAN
LOGO,LOGO YAZILIM
LUKSK,LÜKS KADİFE
METRO,METRO YATIRIM
MRDIN,MARDİN ÇİMENTO
NTHOL,NUH ÇİMENTO
OTTOW,OTTOWIN
POLHO,POLİSAN HOLDİNG
QUAKE,QUAKERY
REEDR,REEDER
SALIM,SALİHLİ PAMUK
SKTAS,SÖKE DEĞİRMEN
SUNTK,SUNTEK
TATGD,TAT GIDA
TURSG,TÜRK SİGORTA
USTUR,UŞAK SERAMİK
VERUS,VERUSA HOLDİNG
YATAS,YATAŞ
YGGYO,YENİ GİMAT GYO
YONKO,YONSA
YPGL,YP YATIRIM
ZEO,ZEKERİYA BİRİŞİM
